Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1210248886,nba,2017/04/30,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/ENXZMZOCL,
S1210248817,nba,2017/04/30,NBA $1 Double Up (Experienced Players Excluded),$60k,265.90,,7,22,Tournament,1,1.60,https://www.fanduel.com/entry/APULKSZXV,
S1210248671,nba,2017/04/30,$5 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,5,0,https://www.fanduel.com/entry/AZYPRXXET,
S1210248600,nba,2017/04/30,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,2,0,https://www.fanduel.com/entry/BINBMRFWH,
S1210248552,nba,2017/04/30,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/BNIEWSJCX,
S1210248345,nba,2017/04/30,$5 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/ARYBKDMIH,
S1210248041,nba,2017/04/30,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/EOZUMTQTZ,
S1210247981,nba,2017/04/30,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,1,2,2 player league,2,1.80,https://www.fanduel.com/entry/BJAYZQDRJ,
S1210247869,nba,2017/04/30,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/AQWGKUOMP,
S1210247822,nba,2017/04/30,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,2,2,2 player league,2,0,https://www.fanduel.com/entry/FDZCDKTNB,
S1210247766,nba,2017/04/30,$5 NBA Head-To-Head (Experienced Players Excluded) ,$60k,265.90,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/ECECUMXVB,
S1210247675,nba,2017/04/30,NBA $2 Double Up ( Experienced Players Excluded),$60k,265.90,,4,11,Tournament,2,1.60,https://www.fanduel.com/entry/DSNWAZPCH,
S1210247530,nba,2017/04/30,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,265.90,,7,20,Tournament,1,1.80,https://www.fanduel.com/entry/EDFXUHAMP,
S1210247426,nba,2017/04/30,NBA $1 Double Up (Experienced Players Excluded),$60k,265.90,,8,22,Tournament,1,1.50,https://www.fanduel.com/entry/BCCFQTLUT,
S1210045757,mlb,2017/04/30,MLB $1 50/50 Contest (Experienced Players Excluded) (Main),$35k,106,,8,10,10 player league,1,0,https://www.fanduel.com/entry/ELGMAMKYC,
S1209386432,nba,2017/04/28,NBA BPN League (NBA Game 12),$60k,265.50,,1,2,Tournament,0,0,https://www.fanduel.com/entry/CKVXCZRHK,
S1209223971,nba,2017/04/28,NBA $2 Double Up ( Experienced Players Excluded),$60k,300.50,,1,11,Tournament,2,4.00,https://www.fanduel.com/entry/DHHWGZHFI,
S1209223576,nba,2017/04/28,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,300.50,,6,20,Tournament,1,1.80,https://www.fanduel.com/entry/AOESLNPHE,
S1209223469,nba,2017/04/28,NBA $1 Double Up (Experienced Players Excluded),$60k,300.50,,4,22,Tournament,1,2.00,https://www.fanduel.com/entry/BMUGWKRMC,
S1208789606,nba,2017/04/27,NBA BPN League (NBA Game 11),$60k,252.50,,1,3,Tournament,0,0,https://www.fanduel.com/entry/CKHZUIPXD,
S1208514458,nba,2017/04/27,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,252.50,,8,20,Tournament,1,1.80,https://www.fanduel.com/entry/DVFINGJFL,
S1208149779,nba,2017/04/26,NBA BPN League (NBA Game 10),$60k,268.40,,1,2,Tournament,0,0,https://www.fanduel.com/entry/DGGAKVMWL,
S1208135075,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/FAFSRAXPN,
S1208134901,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/CLXSFQIXZ,
S1208133523,nba,2017/04/26,$10 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,2,2,2 player league,10,0,https://www.fanduel.com/entry/EIOXQAPXN,
S1208133373,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/DTPPYUPJZ,
S1208133299,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,2,2,2 player league,2,0,https://www.fanduel.com/entry/BFHPNYYMX,
S1208128949,nba,2017/04/26,10-Player Contest ($1 - Top 3 Win),$60k,266.50,,2,10,10 player league,1,2.25,https://www.fanduel.com/entry/AWTDQXYRN,
S1208122335,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/ESTBYFPUT,
S1208122115,nba,2017/04/26,$10 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,2,2,2 player league,10,0,https://www.fanduel.com/entry/DNSRRDHRB,
